,Prop. Strategy #2,Prop. Strategy #8,Prop. of Cooperators,Prop. of Defectors,Average Util. Strategy #2,Average Util. Strategy #8,# of Mutants Added,size
967,0.0,1.0,0.0,1.0,0.0,0.0,92.0,10.0
661,0.0,1.0,0.0,1.0,0.0,0.0,68.0,10.0
728,0.0,1.0,0.0,1.0,0.0,0.0,86.0,10.0
921,0.0,1.0,0.0,1.0,0.0,0.0,93.0,10.0
759,0.0,1.0,0.0,1.0,0.0,0.0,91.0,10.0
651,0.0,1.0,0.0,1.0,0.0,0.0,73.0,10.0
735,0.0,1.0,0.0,1.0,0.0,0.0,69.0,10.0
822,0.0,1.0,0.0,1.0,0.0,0.0,75.0,10.0
542,0.0,1.0,0.0,1.0,0.0,0.0,53.0,10.0
897,0.0,1.0,0.0,1.0,0.0,0.0,87.0,10.0
1999,0.98,0.02,0.9779874213836478,0.0220125786163522,0.9888712241653418,0.0,163.0,50.0
1999,0.92,0.08,0.8857142857142857,0.11428571428571428,0.9393939393939394,0.0,202.0,50.0
1999,0.92,0.08,0.8181818181818182,0.18181818181818182,0.9,0.0,216.0,50.0
1999,0.94,0.06,0.8372093023255814,0.16279069767441862,0.9113924050632911,0.0,190.0,50.0
1999,0.96,0.04,0.9130434782608695,0.08695652173913043,0.9545454545454546,0.0,195.0,50.0
1999,0.98,0.02,0.957983193277311,0.04201680672268908,0.9785407725321889,0.0,208.0,50.0
911,1.0,0.0,1.0,0.0,1.0,0.0,80.0,50.0
1894,0.98,0.02,0.8235294117647058,0.17647058823529413,0.875,0.0,194.0,50.0
1472,0.98,0.02,1.0,0.0,1.0,0.0,144.0,50.0
1184,1.0,0.0,0.9833333333333333,0.016666666666666666,0.9833333333333333,0.0,109.0,50.0
1999,0.98,0.02,1.0,0.0,1.0,0.0,197.0,100.0
1130,1.0,0.0,1.0,0.0,1.0,0.0,118.0,100.0
1999,0.99,0.01,0.9920634920634921,0.007936507936507936,0.9960159362549801,0.0,178.0,100.0
1999,0.98,0.02,0.92,0.08,0.9583333333333334,0.0,187.0,100.0
1999,1.0,0.0,1.0,0.0,1.0,0.0,172.0,100.0
1999,1.0,0.0,1.0,0.0,1.0,0.0,197.0,100.0
846,0.99,0.01,0.9848771266540642,0.015122873345935728,0.9923809523809524,0.0,82.0,100.0
1999,0.99,0.01,0.9609375,0.0390625,0.9761904761904762,0.0,183.0,100.0
1088,0.99,0.01,1.0,0.0,1.0,0.0,116.0,100.0
1999,0.99,0.01,0.9774774774774775,0.02252252252252252,0.9863636363636363,0.0,176.0,100.0
1569,1.0,0.0,1.0,0.0,1.0,0.0,186.0,150.0
1999,0.8266666666666667,0.17333333333333334,0.81,0.19,0.7790697674418605,1.0,215.0,150.0
550,0.0,1.0,0.0,1.0,0.0,0.0,38.0,150.0
1999,0.86,0.14,0.8,0.2,0.8888888888888888,0.0,226.0,150.0
1999,0.9733333333333334,0.02666666666666667,0.9017857142857143,0.09821428571428571,0.9483568075117371,0.0,205.0,150.0
1999,1.0,0.0,1.0,0.0,1.0,0.0,200.0,150.0
1999,0.9933333333333333,0.006666666666666667,0.9629629629629629,0.037037037037037035,0.9811320754716981,0.0,205.0,150.0
1545,0.9933333333333333,0.006666666666666667,0.9936386768447837,0.006361323155216285,0.9948914431673053,0.6666666666666666,163.0,150.0
1999,0.8533333333333334,0.14666666666666667,0.7253184713375797,0.2746815286624204,0.8231420507996237,0.18652849740932642,218.0,150.0
1999,0.96,0.04,0.9285714285714286,0.07142857142857142,0.9620493358633776,0.0,207.0,150.0
1999,0.935,0.065,0.8706293706293706,0.12937062937062938,0.9135338345864662,0.3,202.0,200.0
1192,0.0,1.0,0.0,1.0,0.0,0.0,119.0,200.0
673,0.0,1.0,0.0,1.0,0.0,0.0,69.0,200.0
1999,0.93,0.07,0.88125,0.11875,0.9194630872483222,0.36363636363636365,221.0,200.0
1999,0.995,0.005,0.9911504424778761,0.008849557522123894,0.9955555555555555,0.0,193.0,200.0
792,1.0,0.0,1.0,0.0,1.0,0.0,71.0,200.0
612,0.0,1.0,0.0,1.0,0.0,0.0,59.0,200.0
1999,0.99,0.01,0.993421052631579,0.006578947368421052,0.993421052631579,0.0,211.0,200.0
1999,0.94,0.06,0.8844444444444445,0.11555555555555555,0.9408983451536643,0.0,188.0,200.0
1999,0.965,0.035,0.9375,0.0625,0.9642857142857143,0.0,189.0,200.0
672,0.0,1.0,0.0,1.0,0.0,0.0,66.0,250.0
1999,0.98,0.02,0.9675675675675676,0.032432432432432434,0.9814432989690721,0.16,231.0,250.0
1286,0.0,1.0,0.0,1.0,0.0,0.0,128.0,250.0
1999,0.96,0.04,0.8235294117647058,0.17647058823529413,0.8974358974358975,0.0,196.0,250.0
